
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D2:54:F0:A7:08:EC, 2024-06-13 18:59:19, 2024-06-13 18:59:19, -85,        1, (not associated) ,
F0:5C:77:30:AE:3B, 2024-06-13 18:51:05, 2024-06-13 18:59:06, -82,       17, 04:D9:F5:90:4C:F4,SETI
E6:2B:02:5B:1D:CC, 2024-06-13 18:58:53, 2024-06-13 18:58:54, -83,        2, (not associated) ,
26:9E:99:14:0D:3B, 2024-06-13 18:58:44, 2024-06-13 18:58:44, -80,        1, (not associated) ,
50:EC:50:18:CF:0C, 2024-06-13 18:51:42, 2024-06-13 18:58:44, -86,        3, (not associated) ,MiFibra-1EEF
A6:39:B3:07:E3:CD, 2024-06-13 18:52:45, 2024-06-13 18:58:40, -88,        2, A8:02:DB:02:21:B0,
C8:FF:77:35:90:20, 2024-06-13 18:51:04, 2024-06-13 18:58:28, -79,        7, (not associated) ,Gandalf5
D4:F5:47:22:C4:4C, 2024-06-13 18:56:21, 2024-06-13 18:58:31, -83,        3, 34:5D:9E:54:6E:14,
D4:F5:47:8C:6E:A3, 2024-06-13 18:52:08, 2024-06-13 18:58:29, -85,        4, 30:CC:21:2C:84:B3,
40:EC:99:20:5F:71, 2024-06-13 18:50:12, 2024-06-13 18:58:16, -43,        4, (not associated) ,vodafoneAANU7W
74:40:BB:98:3E:95, 2024-06-13 18:58:04, 2024-06-13 18:58:04, -86,        1, (not associated) ,
82:81:D9:8B:52:68, 2024-06-13 18:57:52, 2024-06-13 18:57:52, -78,        1, (not associated) ,
70:BB:E9:F3:23:F7, 2024-06-13 18:57:56, 2024-06-13 18:57:56, -82,        1, (not associated) ,
F0:5C:77:49:8B:92, 2024-06-13 18:51:31, 2024-06-13 18:57:56, -83,        5, (not associated) ,Livebox6-BFD7
C8:3A:35:A8:1F:CC, 2024-06-13 18:53:43, 2024-06-13 18:57:55, -83,        2, 9C:A5:70:3F:A0:05,
64:90:C1:0A:62:10, 2024-06-13 18:57:04, 2024-06-13 18:57:55, -85,        2, 08:33:ED:34:50:2F,
1C:30:08:45:9A:7D, 2024-06-13 18:57:52, 2024-06-13 18:57:52, -86,        1, (not associated) ,
54:48:E6:84:2A:54, 2024-06-13 18:50:53, 2024-06-13 18:57:57, -86,       29, A4:39:B3:17:E3:CD,
F4:F5:D8:0B:FF:0A, 2024-06-13 18:55:56, 2024-06-13 18:57:54, -88,        2, 94:28:6F:15:00:4B,
4A:73:60:7C:C5:78, 2024-06-13 18:57:33, 2024-06-13 18:57:33, -73,        4, (not associated) ,casa12
84:1B:77:92:25:2F, 2024-06-13 18:57:01, 2024-06-13 18:57:32, -85,        2, (not associated) ,MOVISTAR_PLUS_6912
EA:C0:BD:EA:52:95, 2024-06-13 18:52:49, 2024-06-13 18:57:18, -82,       11, F4:69:42:E7:E7:FF,
CE:96:51:75:F4:A9, 2024-06-13 18:57:08, 2024-06-13 18:57:08,  -1,        1, 60:8D:26:F7:C6:EC,
22:0D:B0:08:A6:9F, 2024-06-13 18:52:46, 2024-06-13 18:57:05, -85,        2, EC:F4:51:D6:8A:2D,
22:DF:9A:6F:CF:CA, 2024-06-13 18:56:42, 2024-06-13 18:56:42, -80,        1, (not associated) ,
38:22:E2:A9:A6:5C, 2024-06-13 18:56:30, 2024-06-13 18:56:30, -73,        1, (not associated) ,DIGIFIBRA-PLUS-CtNu
22:18:A6:BE:C5:D6, 2024-06-13 18:56:31, 2024-06-13 18:56:31, -83,        1, (not associated) ,
2E:3C:96:A3:F8:07, 2024-06-13 18:56:09, 2024-06-13 18:56:09, -79,        1, (not associated) ,
32:42:85:AE:32:36, 2024-06-13 18:53:16, 2024-06-13 18:56:08, -83,        6, 9C:53:22:B7:C0:D0,
3A:E4:B6:39:9A:EF, 2024-06-13 18:55:55, 2024-06-13 18:55:55, -86,        1, (not associated) ,
3E:D9:FB:C7:83:51, 2024-06-13 18:55:42, 2024-06-13 18:55:42, -70,        1, (not associated) ,
9A:BC:C0:B9:3C:47, 2024-06-13 18:55:31, 2024-06-13 18:55:31, -80,        1, (not associated) ,
12:CA:92:37:15:1F, 2024-06-13 18:55:33, 2024-06-13 18:55:33, -82,        2, (not associated) ,
6E:09:6F:D2:94:2F, 2024-06-13 18:55:32, 2024-06-13 18:55:32, -86,        1, (not associated) ,
46:A4:E6:D6:72:5D, 2024-06-13 18:53:50, 2024-06-13 18:55:21, -84,      222, 2C:96:82:94:DD:78,leviali
22:A5:95:61:A7:00, 2024-06-13 18:55:17, 2024-06-13 18:55:17, -86,        1, (not associated) ,
9E:64:69:9C:DF:23, 2024-06-13 18:55:21, 2024-06-13 18:55:21, -88,        1, (not associated) ,
9A:DD:A3:1F:00:AA, 2024-06-13 18:54:54, 2024-06-13 18:54:54, -80,        1, (not associated) ,
3A:C1:D4:C0:96:3B, 2024-06-13 18:51:17, 2024-06-13 18:54:52, -86,        2, 94:28:6F:15:17:0F,
58:B1:0F:B0:7D:E6, 2024-06-13 18:54:40, 2024-06-13 18:54:41, -76,        5, (not associated) ,Real Madrid_5G
F6:54:76:3E:DB:25, 2024-06-13 18:54:44, 2024-06-13 18:54:44, -84,        1, (not associated) ,
3A:19:D4:CD:7A:E1, 2024-06-13 18:51:33, 2024-06-13 18:54:20, -49,        8, (not associated) ,
C0:3C:59:71:E2:10, 2024-06-13 18:54:19, 2024-06-13 18:54:20, -67,        2, (not associated) ,DIGI-5-4M6e
C2:8D:C4:D2:FC:58, 2024-06-13 18:54:07, 2024-06-13 18:54:07, -83,        1, (not associated) ,
F2:E5:3F:83:14:1A, 2024-06-13 18:53:53, 2024-06-13 18:53:53, -79,        1, (not associated) ,
4C:5F:70:29:52:6B, 2024-06-13 18:53:29, 2024-06-13 18:53:29,  -1,        1, 80:29:94:DA:27:4F,
FE:73:5E:79:B0:A4, 2024-06-13 18:53:28, 2024-06-13 18:53:28, -84,        1, (not associated) ,
44:07:0B:F1:47:36, 2024-06-13 18:53:31, 2024-06-13 18:53:31, -86,        1, (not associated) ,MIWIFI_2G_mf3e
26:AE:B7:C6:DE:7B, 2024-06-13 18:53:31, 2024-06-13 18:53:31, -86,        1, (not associated) ,
00:12:7B:48:60:52, 2024-06-13 18:53:18, 2024-06-13 18:53:18, -78,        1, (not associated) ,WIFIGTINT
62:FD:75:16:D1:76, 2024-06-13 18:53:07, 2024-06-13 18:53:07, -84,        1, (not associated) ,
E0:80:6B:A9:2A:D2, 2024-06-13 18:53:05, 2024-06-13 18:53:05, -84,        1, (not associated) ,Redmi Note 9
F2:07:59:2A:A9:B5, 2024-06-13 18:52:53, 2024-06-13 18:52:53, -78,        4, (not associated) ,AA9C4323,Livebox6-C6ED,tpreRuU6Bg4gc4EWqXKN
36:2E:E1:C6:72:82, 2024-06-13 18:52:51, 2024-06-13 18:52:52, -82,        2, (not associated) ,
D4:A6:51:B6:65:3E, 2024-06-13 18:51:48, 2024-06-13 18:52:42, -89,        2, 44:48:B9:D3:AE:2E,
F6:30:59:04:06:CC, 2024-06-13 18:52:33, 2024-06-13 18:52:33, -78,        2, (not associated) ,Livebox6-C6ED
B2:A7:53:F7:FD:63, 2024-06-13 18:52:33, 2024-06-13 18:52:33, -83,        1, (not associated) ,
44:CB:8B:0D:F9:68, 2024-06-13 18:51:41, 2024-06-13 18:51:41, -84,        1, E4:AB:89:B9:06:EE,
52:49:C5:C6:45:BF, 2024-06-13 18:51:05, 2024-06-13 18:51:05, -79,        2, (not associated) ,
5E:0F:76:B9:74:B2, 2024-06-13 18:50:22, 2024-06-13 18:50:29, -85,       24, 08:3F:BC:DE:7C:0A,
48:E1:E9:A4:6D:C4, 2024-06-13 18:50:19, 2024-06-13 18:50:19, -82,        1, D4:B9:2F:36:9C:00,
E2:11:4B:A6:04:D3, 2024-06-13 18:50:16, 2024-06-13 18:50:16, -82,        1, (not associated) ,
DE:C2:F3:10:15:8F, 2024-06-13 18:50:04, 2024-06-13 18:50:08, -79,        9, 60:8D:26:F7:C6:EC,
D8:E2:DF:15:C5:9B, 2024-06-13 18:50:06, 2024-06-13 18:50:07, -83,       35, 94:28:6F:15:17:10,DIGIFIBRA-PLUS-QQ7u
F0:F0:A4:C4:63:69, 2024-06-13 18:50:09, 2024-06-13 18:50:09, -85,        1, BA:42:A1:54:5A:68,
A6:7C:FD:59:4A:DA, 2024-06-13 18:50:24, 2024-06-13 18:50:24, -83,        1, (not associated) ,
CA:7B:12:D0:61:45, 2024-06-13 18:50:24, 2024-06-13 18:50:24, -26,        6, (not associated) ,
48:43:DD:2F:98:FE, 2024-06-13 18:50:35, 2024-06-13 18:50:35, -87,        1, 94:28:6F:15:00:4B,
28:0F:EB:F0:FB:8C, 2024-06-13 18:51:26, 2024-06-13 18:51:26, -87,        1, (not associated) ,
DA:DF:C1:85:F7:87, 2024-06-13 18:51:27, 2024-06-13 18:51:27, -85,        1, (not associated) ,WEP
8A:F5:C6:9D:5B:8B, 2024-06-13 18:51:27, 2024-06-13 18:51:27, -85,        1, (not associated) ,IBIS STYLES
8A:20:55:EA:7F:31, 2024-06-13 18:51:27, 2024-06-13 18:51:27, -84,        1, (not associated) ,SanJiangYue_8103
BE:C8:DF:AB:DC:CF, 2024-06-13 18:51:27, 2024-06-13 18:51:27, -84,        1, (not associated) ,Apcaserio
2E:7C:46:6A:A0:D9, 2024-06-13 18:51:27, 2024-06-13 18:51:27, -84,        1, (not associated) ,MOVISTAR_A3C5
CA:A3:B0:14:3C:E5, 2024-06-13 18:51:27, 2024-06-13 18:51:27, -84,        1, (not associated) ,
DA:F8:F4:47:B0:B0, 2024-06-13 18:52:24, 2024-06-13 18:52:24, -77,        3, (not associated) ,
7E:55:19:BB:0D:4D, 2024-06-13 18:52:36, 2024-06-13 18:52:36, -86,        1, (not associated) ,
B0:E4:D5:B4:B0:E8, 2024-06-13 18:52:35, 2024-06-13 18:52:35, -85,        1, CC:ED:DC:1D:34:E4,
14:C1:4E:B4:32:1F, 2024-06-13 18:52:49, 2024-06-13 18:52:49, -87,        1, (not associated) ,Familyma_5G
08:8E:90:C4:FA:4A, 2024-06-13 18:52:50, 2024-06-13 18:52:50, -85,        1, (not associated) ,vodafoneB780
08:F4:58:B7:1D:CD, 2024-06-13 18:52:46, 2024-06-13 18:52:46, -83,        1, 84:AA:9C:A9:AA:85,
1A:F4:2B:F0:57:EA, 2024-06-13 18:54:12, 2024-06-13 18:54:12, -86,        1, (not associated) ,
4A:67:A5:AB:0F:A7, 2024-06-13 18:54:25, 2024-06-13 18:54:25, -81,        1, (not associated) ,
54:27:58:55:08:13, 2024-06-13 18:52:21, 2024-06-13 18:54:35, -85,        2, (not associated) ,
06:8C:30:3C:8A:AC, 2024-06-13 18:54:39, 2024-06-13 18:54:39, -85,        1, (not associated) ,
EC:5C:68:05:9F:41, 2024-06-13 18:54:39, 2024-06-13 18:54:39, -85,        1, (not associated) ,
9E:61:9B:ED:78:DE, 2024-06-13 18:54:51, 2024-06-13 18:54:51, -88,        1, (not associated) ,
DA:A1:19:2E:FC:DC, 2024-06-13 18:54:51, 2024-06-13 18:54:51, -85,        1, (not associated) ,
F0:57:A6:F1:EC:6C, 2024-06-13 18:54:59, 2024-06-13 18:54:59, -86,        1, E4:AB:89:B9:06:EE,
2C:D0:5A:F1:0B:CE, 2024-06-13 18:51:20, 2024-06-13 18:55:03, -85,        2, 60:8D:26:30:3E:50,
04:0E:3C:5D:EE:A0, 2024-06-13 18:50:22, 2024-06-13 18:55:02, -83,        8, 48:29:52:47:B7:86,
0E:49:0B:27:AD:FB, 2024-06-13 18:55:22, 2024-06-13 18:55:23, -67,        3, (not associated) ,
5C:41:5A:69:02:B2, 2024-06-13 18:55:34, 2024-06-13 18:55:49, -88,       17, CC:32:E5:C2:FF:D1,
5A:8C:9D:24:CF:45, 2024-06-13 18:55:49, 2024-06-13 18:55:49, -82,        1, (not associated) ,
AE:0F:52:3D:33:F5, 2024-06-13 18:55:49, 2024-06-13 18:55:49,  -1,        1, 80:29:94:DA:27:4F,
D2:7A:05:6D:EC:8C, 2024-06-13 18:56:03, 2024-06-13 18:56:03, -82,        6, (not associated) ,MOVISTAR_PLUS_F660
C6:C0:2E:F3:21:F7, 2024-06-13 18:54:40, 2024-06-13 18:56:14, -87,        3, CC:ED:DC:1D:34:E4,
36:28:19:55:B3:83, 2024-06-13 18:56:11, 2024-06-13 18:56:11, -84,        1, (not associated) ,vodafone59A9
3C:A0:67:43:8F:8A, 2024-06-13 18:56:26, 2024-06-13 18:56:26, -83,        1, 44:FB:5A:B3:47:94,
04:10:6B:42:93:2F, 2024-06-13 18:56:38, 2024-06-13 18:56:38, -78,        2, (not associated) ,
FC:6B:F0:25:93:F4, 2024-06-13 18:57:15, 2024-06-13 18:57:15, -84,        2, CC:D4:A1:EA:3A:D3,
DC:E5:5B:85:5D:CB, 2024-06-13 18:53:11, 2024-06-13 18:57:11, -82,        2, (not associated) ,Livebox6-BA32
48:E1:E9:A4:76:CA, 2024-06-13 18:55:21, 2024-06-13 18:57:23, -82,        4, D4:B9:2F:36:9C:00,
F6:43:CA:2F:12:97, 2024-06-13 18:57:22, 2024-06-13 18:57:22, -76,        1, (not associated) ,MOVISTAR_PLUS_C233
1C:BF:CE:7F:52:F2, 2024-06-13 18:57:49, 2024-06-13 18:57:49,  -1,        1, D8:32:14:DD:5B:91,
BE:98:49:44:1D:F5, 2024-06-13 18:58:00, 2024-06-13 18:58:00, -88,        3, (not associated) ,FAM_RM_PLUS
F0:EF:86:33:B4:94, 2024-06-13 18:57:59, 2024-06-13 18:57:59, -86,        1, 08:7E:64:F3:01:00,
92:2C:C6:49:6B:B9, 2024-06-13 18:57:50, 2024-06-13 18:58:01, -85,        2, (not associated) ,vodafoneC170
64:FF:0A:E5:CA:10, 2024-06-13 18:58:15, 2024-06-13 18:58:15, -88,        1, (not associated) ,
48:E1:E9:A4:72:6E, 2024-06-13 18:58:13, 2024-06-13 18:58:13, -83,        1, D4:B9:2F:36:9C:00,
EE:50:77:7C:EA:40, 2024-06-13 18:58:11, 2024-06-13 18:58:12, -80,        9, (not associated) ,MIWIFI_asvm,FAM_RM_PLUS
72:3A:A0:F0:D7:EB, 2024-06-13 18:51:17, 2024-06-13 18:58:27, -85,        4, 44:AD:B1:C9:FC:5E,
FE:DE:EA:3F:F1:8B, 2024-06-13 18:55:58, 2024-06-13 18:58:25, -83,        4, CC:29:BD:24:9C:83,
CA:8E:92:67:FB:EA, 2024-06-13 18:58:26, 2024-06-13 18:58:26, -83,        1, (not associated) ,
20:1F:3B:CC:5C:13, 2024-06-13 18:51:17, 2024-06-13 18:58:38, -83,        3, (not associated) ,Livebox6-BA32
80:60:B7:E0:5B:84, 2024-06-13 18:50:54, 2024-06-13 18:58:34, -77,        5, 04:D9:F5:90:4C:F4,
00:45:E2:9B:F6:D1, 2024-06-13 18:52:37, 2024-06-13 18:58:37, -65,       11, (not associated) ,Livebox6-7379
24:18:C6:E3:E9:31, 2024-06-13 18:52:22, 2024-06-13 18:58:47, -84,       17, 08:F4:58:97:4F:10,
32:D5:64:0C:B4:D1, 2024-06-13 18:58:46, 2024-06-13 18:58:46, -84,        1, (not associated) ,
38:68:A4:FC:CE:D8, 2024-06-13 18:58:48, 2024-06-13 18:58:48,  -1,        1, 80:29:94:DA:27:4F,
CC:08:FA:8B:DE:09, 2024-06-13 18:58:48, 2024-06-13 18:58:48,  -1,        1, 80:29:94:DA:27:4F,
9A:5D:57:E4:EC:22, 2024-06-13 18:58:48, 2024-06-13 18:58:48,  -1,        2, 80:29:94:DA:27:4F,
28:6D:CD:6E:A9:5B, 2024-06-13 18:52:46, 2024-06-13 18:58:59, -86,        7, 9C:A5:70:3F:A0:05,
84:C3:E8:08:E5:AC, 2024-06-13 18:50:43, 2024-06-13 18:59:03, -78,       16, 80:78:71:DD:F4:43,MOVISTAR_F442
E4:AB:89:B9:06:EE, 2024-06-13 18:50:11, 2024-06-13 18:59:03,  -1,       10, E4:AB:89:B9:06:EE,
48:D6:D5:06:53:94, 2024-06-13 18:50:19, 2024-06-13 18:59:12, -83,       11, (not associated) ,Familyma_5G
4A:2C:8C:80:7F:4E, 2024-06-13 18:59:12, 2024-06-13 18:59:12, -83,        1, (not associated) ,
D0:DF:9A:6F:CF:CA, 2024-06-13 18:51:43, 2024-06-13 18:59:15, -81,       12, 9C:53:22:B7:C0:D0,DIGIFIBRA-47hU_EXT
34:AF:B3:85:CB:2E, 2024-06-13 18:52:27, 2024-06-13 18:59:10, -79,        7, (not associated) ,
7C:1C:4E:8C:BC:9D, 2024-06-13 18:51:34, 2024-06-13 18:59:11, -77,        5, 08:7E:64:F3:01:00,
88:D0:39:0E:FB:EC, 2024-06-13 18:59:10, 2024-06-13 18:59:10, -71,        1, 9C:A5:70:3F:A0:05,
D8:EB:46:CA:6B:C6, 2024-06-13 18:53:04, 2024-06-13 18:59:13,  -1,        3, 64:CC:22:F6:78:C8,
24:1F:A0:2E:F1:52, 2024-06-13 18:50:26, 2024-06-13 19:00:12, -88,       26, (not associated) ,ONO6CF2
1E:31:C8:EC:3C:70, 2024-06-13 18:59:25, 2024-06-13 18:59:25, -87,        1, (not associated) ,
C4:DE:E2:8C:26:38, 2024-06-13 18:57:10, 2024-06-13 19:00:13, -86,        4, (not associated) ,MiFibra-1EC0
E8:4F:25:D7:A2:9E, 2024-06-13 18:50:59, 2024-06-13 18:59:33, -86,        7, 18:FD:74:A6:73:AC,
58:B5:68:24:C5:BD, 2024-06-13 18:51:57, 2024-06-13 18:59:58, -86,       13, CC:29:BD:21:BD:9F,
D8:EB:46:7A:06:D0, 2024-06-13 18:50:15, 2024-06-13 19:00:08, -86,       62, 34:5D:9E:54:6E:14,
E0:0A:F6:33:D0:EF, 2024-06-13 18:56:15, 2024-06-13 18:59:52, -85,        2, 80:20:DA:56:C1:76,
00:F6:20:F8:AC:EE, 2024-06-13 18:51:34, 2024-06-13 18:59:43, -85,        5, (not associated) ,PINEDA
AE:8E:23:D8:8F:39, 2024-06-13 19:00:10, 2024-06-13 19:00:10, -85,        1, (not associated) ,
10:08:C1:53:20:F7, 2024-06-13 18:50:05, 2024-06-13 19:00:17, -85,        9, (not associated) ,
88:57:1D:3F:16:1C, 2024-06-13 18:50:06, 2024-06-13 19:00:01, -84,       41, (not associated) ,MiFibra-9A9A
D6:90:3B:BB:87:A9, 2024-06-13 18:58:36, 2024-06-13 18:59:34, -84,        2, D8:32:14:DD:5B:91,
C8:FF:77:A9:C2:BF, 2024-06-13 18:50:55, 2024-06-13 18:59:36, -84,       24, 2C:96:82:94:DD:78,leviali
9A:43:22:B7:C0:D0, 2024-06-13 18:59:37, 2024-06-13 18:59:37, -84,        1, C4:27:28:5A:C8:EC,
00:09:B0:29:05:5B, 2024-06-13 18:59:49, 2024-06-13 18:59:49, -84,        1, CC:ED:DC:79:0F:40,
24:62:AB:52:F9:C2, 2024-06-13 18:50:18, 2024-06-13 19:00:07, -84,       69, 94:28:6F:15:00:4B,
9C:28:40:C3:F1:E8, 2024-06-13 18:50:12, 2024-06-13 18:59:32, -83,        4, E4:AB:89:23:B1:0B,
AC:C3:58:3B:0E:60, 2024-06-13 18:59:40, 2024-06-13 18:59:40, -83,        1, (not associated) ,
8E:3A:0D:BE:CB:24, 2024-06-13 19:00:11, 2024-06-13 19:00:11, -83,        2, (not associated) ,
48:E1:E9:A4:7C:A1, 2024-06-13 18:53:04, 2024-06-13 19:00:01, -82,        5, D4:B9:2F:36:9C:00,
A6:AF:C6:2C:CC:62, 2024-06-13 18:59:28, 2024-06-13 18:59:54, -82,        2, (not associated) ,
9E:4E:F0:24:93:87, 2024-06-13 18:59:46, 2024-06-13 19:00:05, -82,       20, EC:BE:DD:B7:69:DE,vodafone69D8
E0:C2:64:7F:CA:97, 2024-06-13 18:59:34, 2024-06-13 18:59:34, -81,        1, (not associated) ,MOVISTAR_PLUS_C233
80:9F:9B:0D:60:A0, 2024-06-13 18:50:07, 2024-06-13 19:00:21, -81,      252, A8:02:DB:02:21:B0,
00:06:78:D0:F3:61, 2024-06-13 18:50:18, 2024-06-13 19:00:25, -80,       24, 44:48:B9:02:E0:06,
C6:7D:9D:36:67:93, 2024-06-13 19:00:14, 2024-06-13 19:00:14, -80,        2, (not associated) ,
C4:27:28:5A:C8:EC, 2024-06-13 18:50:05, 2024-06-13 19:00:20, -79,      161, 9A:43:22:B7:C0:D0,
D8:C0:A6:B3:F1:73, 2024-06-13 18:59:51, 2024-06-13 18:59:51, -79,        6, (not associated) ,MOVISTAR_PLUS_F35F
C4:36:6C:1A:AF:3B, 2024-06-13 19:00:03, 2024-06-13 19:00:03, -78,        1, (not associated) ,
A2:BD:5C:90:CC:D7, 2024-06-13 19:00:17, 2024-06-13 19:00:17, -78,        1, (not associated) ,
76:8F:46:27:B6:75, 2024-06-13 18:59:37, 2024-06-13 18:59:37, -77,        1, (not associated) ,
72:20:3D:A1:E4:CB, 2024-06-13 18:59:41, 2024-06-13 18:59:41, -77,        3, (not associated) ,
FC:6B:F0:A2:73:FE, 2024-06-13 18:50:06, 2024-06-13 19:00:25, -72,      482, A8:02:DB:02:21:B0,
12:39:F9:A2:48:76, 2024-06-13 18:50:37, 2024-06-13 18:59:46, -73,      460, AC:4C:A5:BD:86:80,vodafoneAANU7W
5E:6E:8C:EA:77:C6, 2024-06-13 18:50:11, 2024-06-13 18:59:53, -73,       51, 50:0F:F5:7B:81:91,casa12
38:C8:04:81:7B:7A, 2024-06-13 18:51:01, 2024-06-13 19:00:11, -72,       26, 50:0F:F5:7B:81:91,
28:CC:FF:81:4A:36, 2024-06-13 18:50:36, 2024-06-13 18:59:46, -70,       27, 80:78:71:DD:F4:43,
5C:60:BA:AF:68:84, 2024-06-13 18:50:11, 2024-06-13 19:00:00, -67,       32, 50:0F:F5:7B:81:91,casa12
34:AF:B3:89:55:11, 2024-06-13 18:50:18, 2024-06-13 19:00:18, -59,       43, AC:4C:A5:BD:86:80,
8A:60:73:E0:3D:34, 2024-06-13 18:50:07, 2024-06-13 19:00:22, -58,      401, AC:4C:A5:BD:86:80,
9C:A2:F4:24:5F:7E, 2024-06-13 18:52:34, 2024-06-13 18:59:28, -56,        6, 30:C5:0F:A3:39:8C,
00:1C:7B:DC:C4:CB, 2024-06-13 18:50:17, 2024-06-13 19:00:23, -56,       31, (not associated) ,
94:E6:F7:AA:24:A9, 2024-06-13 18:51:52, 2024-06-13 19:00:05,  -1,       10, 44:FF:BA:0E:4D:E0,
58:B5:68:24:C5:BE, 2024-06-13 18:50:05, 2024-06-13 19:00:23,  -1,      319, 58:B5:68:24:C5:BE,
FE:88:0C:B6:45:DD, 2024-06-13 19:00:25, 2024-06-13 19:00:25, -80,        1, (not associated) ,

